cross_prob,mut_prob,Output
0.000,0.000,1258977218086962643776649555596
0.000,0.111,1267643251326522178608900976151
0.000,0.222,1267528023967967075558680357265
0.000,0.333,1267648181341441006096912486950
0.000,0.444,1267650560602787095811523544111
0.000,0.556,1267650519920569773484088139185
0.000,0.667,1267650444308622923781498083365
0.000,0.778,1267650561968588098951706904774
0.000,0.889,1267650105994972282360243602820
0.000,1.000,1267650581187990950922491142156
0.111,0.000,1259699107268715541587068992895
0.111,0.111,1267649851997465433645638399079
0.111,0.222,1267649323996350387532312721562
0.111,0.333,1267650588299633642975008835598
0.111,0.444,1267649691060623171125886854668
0.111,0.556,1267650571264249934637693853965
0.111,0.667,1267650595450367898293252588186
0.111,0.778,1267650253280917078400704397592
0.111,0.889,1267650599658951727495569024321
0.111,1.000,1267650600144942996978116698886
0.222,0.000,1267148105002393094360918571973
0.222,0.111,1267650333727700125334560020485
0.222,0.222,1267650400950429237161426953662
0.222,0.333,1267604659541797988144644558427
0.222,0.444,1267650419520900921435140540259
0.222,0.556,1267650434760197955412630185123
0.222,0.667,1267650561153519365649827139937
0.222,0.778,1267649987723529861204842258643
0.222,0.889,1267649387672335008007981261460
0.222,1.000,1267650600135590495737019111750
0.333,0.000,1236060168263148627307088760437
0.333,0.111,1267637695714503489834645770302
0.333,0.222,1267610397885023698386062848185
0.333,0.333,1267573147916537222084346471700
0.333,0.444,1267649693226229148308061863600
0.333,0.556,1267650544624908690134554995102
0.333,0.667,1267650416012173655927915622500
0.333,0.778,1267650447811424437564487047397
0.333,0.889,1267650597851038720143014563384
0.333,1.000,1267650597371110122838755837308
0.444,0.000,1247072253483563788304680954319
0.444,0.111,1267485574687255123217020899350
0.444,0.222,1267649987191365672127219798112
0.444,0.333,1267649078996976597652983125282
0.444,0.444,1267650576512915629609130665614
0.444,0.556,1267629999437685689219674934358
0.444,0.667,1267650230421681262010617111677
0.444,0.778,1267649994562416161853661925729
0.444,0.889,1267650580594212518516449348238
0.444,1.000,1267650579357492931827794631247
0.556,0.000,1265830987368963085365612999153
0.556,0.111,1266377402827373216020781683743
0.556,0.222,1267650216511206142748872482131
0.556,0.333,1267649901018983149124231135271
0.556,0.444,1267650248336968889097595682990
0.556,0.556,1267647716522462271362946370468
0.556,0.667,1267650585073542045362911592477
0.556,0.778,1267650561410953696195059389810
0.556,0.889,1267650598973539585836554686512
0.556,1.000,1267650288325047874111345667134
0.667,0.000,1245664536839248913756199929402
0.667,0.111,1267602129115441298193449380005
0.667,0.222,1267631245223341455989224786715
0.667,0.333,1267643000605954294501827441118
0.667,0.444,1267650599765321854491592380416
0.667,0.556,1267611229290034526651026256907
0.667,0.667,1267648156540505993330624612791
0.667,0.778,1267650063039208774080130375674
0.667,0.889,1267650585379242608603578645738
0.667,1.000,1267650598509032273986906293607
0.778,0.000,1266242782259468537517165237061
0.778,0.111,1265017550247647383283697374343
0.778,0.222,1264545094921259257596857154224
0.778,0.333,1267649238683175005292947952162
0.778,0.444,1267640010872953163632340963724
0.778,0.556,1267030413746981894710072034714
0.778,0.667,1267650543434970063137346958852
0.778,0.778,1267645741496745301951781635524
0.778,0.889,1267650599037518587014666782758
0.778,1.000,1267650600209208948635220337161
0.889,0.000,1267158980798212254462428170235
0.889,0.111,1256508929412137984406703861851
0.889,0.222,1267495404258347675567513946532
0.889,0.333,1267569988768209215796335185664
0.889,0.444,1266867215499817746323974040138
0.889,0.556,1266402874550091088034254818054
0.889,0.667,1267648172763465195386076074340
0.889,0.778,1267650580157884488841813046272
0.889,0.889,1267573077785509961353484767883
0.889,1.000,1267649733673924558906948074580
1.000,0.000,1267357506083509708524655124061
1.000,0.111,1258653570955540582334882840893
1.000,0.222,1256129737528768169538481449590
1.000,0.333,1257901177334009447229374881903
1.000,0.444,1261778611390360626331915077110
1.000,0.556,1260879287852894660975624404599
1.000,0.667,1266398099349900227843423125485
1.000,0.778,1266945449327987043965793702459
1.000,0.889,1267288243455399488067287895163
1.000,1.000,1264482400338014114687168608471
best is 
 0.778,1.000,1267650600209208948635220337161
